"","x"
"1",0.265932972772533
"2",0.353304315205832
"3",0.020946324804903
"4",0.0443146200134017
"5",0.0690799732676377
"6",0.101534676849407
"7",0.205527144281739
"8",0.152690262789
"9",0.202539419538415
"10",0.109020383396098
"11",0.296082842383239
"12",0.352690347263961
"13",0.213093358597099
"14",0.227962988017371
"15",0.0307866611132161
"16",0.202641541743203
"17",0.149190336635022
"18",0.111935980023527
"19",0.31902725734039
"20",0.230064627706112
"21",0.0265186854170384
"22",0.26563224103783
"23",0.214383927892825
"24",0.2528739530379
"25",0.235607056337661
"26",0.0705080544126973
"27",0.0913924197221522
"28",0.319772052124678
"29",0.193081041782046
"30",0.301700163198777
"31",0.348230416321876
"32",0.174542310632656
"33",0.284111412473941
"34",0.246612553593604
"35",0.0497965277435144
"36",0.204976405743165
"37",0.0209452920679751
"38",0.145657063288875
"39",0.326854915497319
"40",0.018762036349936
"41",0.00259120055123383
"42",0.0706493903118952
"43",0.18771359701169
"44",0.154171564293853
"45",0.0101221305577374
"46",0.305091647337896
"47",0.168414001505916
"48",0.136949183018728
"49",0.126540463119025
"50",0.0504427995408082
"51",0.0915466913738999
"52",0.24047238136618
"53",0.226567321363332
"54",0.171882769164463
"55",0.347860675550453
"56",0.354097587593973
"57",0.141276733168556
"58",0.054358552817433
"59",0.295343179566949
"60",0.176842030605725
"61",0.00561727866469995
"62",0.0299442907834526
"63",0.235263285285274
"64",0.245016953177735
"65",0.11316572160278
"66",0.0795305428211082
"67",0.0627956831029202
"68",0.233167736019924
"69",0.12684384497378
"70",0.0705321974850198
"71",0.131336501528097
"72",0.287337665412279
"73",0.0702932946526987
"74",0.0769005095892249
"75",0.30952713824714
"76",0.109750072777647
"77",0.22923563658221
"78",0.0261663517822106
"79",0.186331922199852
"80",0.34560640941761
"81",0.250586493410246
"82",0.157653718694069
"83",0.1099115527195
"84",0.037158315472446
"85",0.0738103082097076
"86",0.245524525697677
"87",0.0996955640054862
"88",0.338162578361743
"89",0.150805835724327
"90",0.325486568051608
"91",0.353626192831586
"92",0.352531467589893
"93",0.234090854684533
"94",0.00273500148772918
"95",0.132489462085531
"96",0.324819689877423
"97",0.0618216367859666
"98",0.0656526386403358
"99",0.305184386799347
"100",0.295551746135011
"101",0.0241891492332683
"102",0.0932637959268797
"103",0.209115405341662
"104",0.294415734934544
"105",0.0611487533181767
"106",0.248293483287416
"107",0.00786192836134956
"108",0.103707942404867
"109",0.0825025471238322
"110",0.0478097371625782
"111",0.275843663549117
"112",0.0325221857478716
"113",0.223962672458988
"114",0.349897769802277
"115",0.0941085464125877
"116",0.128657347664357
"117",0.0817948160928
"118",0.00313716677031224
